YEAR,MONTH,DAY,HOUR,MINUTE,CAUSE,VALIDITY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,REGION_CODE,COUNTRY,Contenient,LOCATION,LATITUDE,LONGITUDE,MAXIMUM_HEIGHT,MAGNITUDE_ABE,MAGNITUDE_IIDA,INTENSITY_SOLOVIEV,WARNING_STATUS,MISSING,MISSING_ESTIMATE,INJURIES,INJURY_ESTIMATE,FATALITIES,FATALITY_ESTIMATE,DAMAGE_MILLIONS_DOLLARS,DAMAGE_ESTIMATE,HOUSES_DAMAGED,HOUSE_DAMAGE_ESTIMATE,HOUSES_DESTROYED,HOUSE_DESTRUCTION_ESTIMATE,ALL_MISSING,MISSING_TOTAL,ALL_INJURIES,INJURY_TOTAL,ALL_FATALITIES,FATALITY_TOTAL,ALL_DAMAGE_MILLIONS,DAMAGE_TOTAL,ALL_HOUSES_DAMAGED,HOUSE_DAMAGE_TOTAL,ALL_HOUSES_DESTROYED,HOUSE_DESTRUCTION_TOTAL
2008,8,26,8,7,1,1,10,5,77,ATLANTIC OCEAN,South America,SOUTHERN ATLANTIC OCEAN,-52.533,26.417,,,,,0,,,,,,,,1,,,,,,,,,,,,1,,,,
2008,9,11,0,20,1,4,25,6.8,85,JAPAN,Asia,HOKKAIDO ISLAND,41.892,143.754,0.09,,,,4,,,,,,,,,,,,,,,77,2,6,1,,3,1000,3,,
2008,10,28,,,9,3,,,75,USA,North America,MAINE,43.8,-69.7,2,,,,,,,,,,,0.02,1,,,,,,,,,,,0.02,1,,,,
2008,11,16,17,2,1,4,30,7.3,83,INDONESIA,Asia,SULAWESI,1.271,122.091,0.13,,,,,,,,,,,,,,,,,,,77,2,6,1,,3,1000,3,,
2009,1,3,19,43,1,4,17,7.6,83,INDONESIA,Asia,NEAR NORTH COAST,-0.414,132.885,0.39,,,,,,,,,,,,,,,,,,,250,3,5,1,,3,840,3,,
2009,1,3,22,33,1,3,23,7.3,83,INDONESIA,Asia,NEAR NORTH COAST,-0.691,133.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,1,15,17,49,1,4,36,7.4,86,RUSSIA,Europe,KAMCHATKA,46.857,155.154,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,2,11,17,34,1,4,22,7.2,83,INDONESIA,Asia,CELEBES SEA,3.884,126.397,0.13,,,,,,,,,,,,,,,,,,,64,2,,,,2,597,3,,
2009,3,19,18,17,1,4,34,7.6,81,TONGA,Oceania,TONGA,-23.046,-174.659,0.15,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
2009,5,28,8,24,1,4,10,7.3,74,HONDURAS,North America,OFF COAST,16.72,-86.236,4,,,,,,,,,,,,,,,,,,,40,1,7,1,,2,25,1,135,3
2009,7,15,9,22,1,4,12,7.8,81,NEW ZEALAND,Australia,OFF WEST COAST OF SOUTH ISLAND,-45.762,166.562,0.47,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2009,8,10,19,55,1,3,5,7.5,60,INDIA,Asia,ANDAMAN ISLANDS,14.099,92.888,0.01,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
2009,8,10,20,7,1,4,40,6.4,85,JAPAN,Asia,HONSHU: S COAST,34.743,138.264,0.6,,,,4,,,,,,,,,,,,,,,123,3,1,1,,3,,,5192,4
2009,8,16,7,38,1,4,20,6.7,60,INDONESIA,Asia,SUMATRA,-1.479,99.49,0.18,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,
2009,8,25,,,8,0,,,88,USA,North America,"COLUMBIA RIVER VALLEY, WA",,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
2009,9,29,17,48,1,4,18,8.1,81,SAMOA,Oceania,SAMOA ISLANDS,-15.489,-172.095,22.35,,,,,7,1,,,192,3,285,4,,,,,,,7,1,192,3,285,4,,,,
2009,9,30,10,16,1,4,81,7.5,60,INDONESIA,Asia,SUMATRA,-0.72,99.867,0.27,,,,,,,,,,,,,,,,,,,1214,4,1117,4,2200,4,181665,4,,3
2009,10,7,22,3,1,4,45,7.6,82,VANUATU,Oceania,VANUATU ISLANDS,-13.006,166.51,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,3,21,48,1,4,26,6.6,82,SOLOMON ISLANDS,Oceania,SOLOMON ISLANDS,-8.743,157.477,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,3,22,36,1,4,25,7.1,82,SOLOMON ISLANDS,Oceania,SOLOMON ISLANDS,-8.799,157.346,3,,,,,,,,,,,,1,,,,1,,,,,,,,1,60,2,16,1
2010,1,5,12,15,1,4,15,6.8,82,SOLOMON ISLANDS,Asia,SOLOMON ISLANDS,-9.019,157.551,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,12,21,53,3,4,13,7,74,HAITI,North America,HAITI & DOMINICAN REPUBLIC,18.457,-72.533,3.21,,,,,,,,,7,1,,1,,,,1,,,300000,4,316000,4,8000,4,188383,4,97294,4
2010,2,26,20,31,1,3,25,7,85,JAPAN,Asia,RYUKYU ISLANDS,25.93,128.425,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,27,6,34,1,4,23,8.8,89,CHILE,South America,CENTRAL CHILE,-36.122,-72.898,29,,,,,12000,4,,,156,3,30000,4,,,,,,,12000,4,558,3,30000,4,500000,4,,
2010,3,11,14,39,1,4,11,6.9,89,CHILE,South America,CENTRAL CHILE,-34.29,-71.891,0.14,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2010,4,6,22,15,1,4,31,7.8,60,INDONESIA,Asia,SUMATRA,2.383,97.048,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,4,13,,,0,2,,,81,COOK ISLANDS,Oceania,"MANGAIA ISLAND, COOK ISLANDS",-21.955,-157.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,4,13,,,8,0,,,89,PERU,South America,"513 LAKE, HUALCAN GLACIER",-9.282,-77.645,23,,,,,,,,,1,1,,1,,,50,1,,,,,1,1,,1,,,50,1
2010,5,29,11,46,6,4,,,81,USA TERRITORY,North America,"SOUTH OF SARIGAN IS, N. MARIANA IS",16.708,145.97,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
